date,value
2021-02-17,100000.0
2021-02-18,100224.30274232308
2021-02-19,99846.64313538949
2021-02-22,99113.88770456579
2021-02-23,99091.69735117223
2021-02-24,99256.80790109899
2021-02-25,98734.54540415075
2021-02-26,98862.79922806921
2021-03-01,99071.0920747489
2021-03-02,98661.63497901426
2021-03-03,98337.87361640885
2021-03-04,98442.27606697037
2021-03-05,98719.61092109635
2021-03-08,97967.00397025203
2021-03-09,98394.59953356872
2021-03-10,97663.37985474823
2021-03-11,98786.7850871603
2021-03-12,98267.51070134915
2021-03-15,98453.92514122867
2021-03-16,98242.42121500822
2021-03-17,98607.43747111887
2021-03-18,96542.46099254221
2021-03-19,96478.22440270256
2021-03-22,96478.22440270256
2021-03-23,96420.3030741255
2021-03-24,96047.22581309594
2021-03-25,95871.87714817854
2021-03-26,95839.96846339914
2021-03-29,95730.90679455419
2021-03-30,95379.5347181248
2021-03-31,95568.3975811782
2021-04-01,96117.1786850039
2021-04-05,98536.3120153302
2021-04-06,98448.52849205695
2021-04-07,99010.24491509162
2021-04-08,100194.26340111457
2021-04-09,101104.79072960578
2021-04-12,100762.92297753059
2021-04-13,102587.77652367316
2021-04-14,101271.4377480384
2021-04-15,102793.59656914436
2021-04-16,102918.9081612464
2021-04-19,102493.74650963508
2021-04-20,102107.32896813117
2021-04-21,102796.4189034339
2021-04-22,101451.82750328742
2021-04-23,102505.88947858155
2021-04-26,102690.18896521704
2021-04-27,102244.94757117407
2021-04-28,102101.7251438059
2021-04-29,102854.6838033674
2021-04-30,101818.83314113595
2021-05-03,101748.73298244455
2021-05-04,100576.92356471994
2021-05-05,100750.82528774497
2021-05-06,101317.08973018882
2021-05-07,101487.00214053853
2021-05-10,100705.57910790465
2021-05-11,99882.80926678705
2021-05-12,99635.78070233393
2021-05-13,100093.26527073848
2021-05-14,100079.91658452022
2021-05-17,100282.02358994719
2021-05-18,100153.3971503391
2021-05-19,100209.9409432234
2021-05-20,100092.73246238843
2021-05-21,99759.10295753411
2021-05-24,100193.11662198867
2021-05-25,100161.32009234432
2021-05-26,100390.53287845307
2021-05-27,99717.3912733609
2021-05-28,99922.28976648701
2021-06-01,100056.04315393818
2021-06-02,99934.67843417953
