date,strategy,action,price,size
2021-02-17,SMA10,BUY,234.8592987060547,42
2021-02-17,SMA30,BUY,234.8592987060547,42
2021-02-19,SMA10,SELL,231.75283813476562,42
2021-02-25,SMA30,SELL,220.2310791015625,42
2021-03-01,SMA30,BUY,227.87698364257812,43
2021-03-02,SMA30,SELL,224.92440795898438,43
2021-03-09,SMA10,BUY,224.8378448486328,44
2021-03-11,SMA30,BUY,228.05975341796875,43
2021-03-12,SMA30,SELL,226.73248291015625,43
2021-03-16,SMA30,BUY,228.61753845214844,43
2021-03-18,SMA10,SELL,221.89491271972656,44
2021-03-18,SMA30,SELL,221.89491271972656,43
2021-03-22,SMA10,BUY,226.96336364746094,43
2021-03-23,SMA30,BUY,228.4925079345703,43
2021-03-24,SMA30,SELL,226.45361328125,43
2021-03-25,SMA10,SELL,223.4529266357422,43
2021-03-26,SMA10,BUY,227.43458557128906,43
2021-03-26,SMA30,BUY,227.43458557128906,43
2021-03-29,GOLDEN,BUY,226.24203491210938,43
2021-03-30,SMA10,SELL,222.981689453125,43
2021-03-30,SMA30,SELL,222.981689453125,43
2021-03-30,GOLDEN,SELL,222.981689453125,43
2021-03-31,SMA10,BUY,226.7517547607422,43
2021-03-31,SMA30,BUY,226.7517547607422,43
2021-03-31,GOLDEN,BUY,226.7517547607422,43
2021-04-22,SMA10,SELL,247.33316040039062,43
2021-04-23,SMA10,BUY,251.16087341308594,40
2021-04-28,SMA10,SELL,244.82302856445312,40
2021-05-04,SMA30,SELL,238.31195068359375,43
2021-05-07,SMA30,BUY,242.8033447265625,41
2021-05-10,SMA30,SELL,237.72532653808594,41
2021-05-10,GOLDEN,SELL,237.72532653808594,43
2021-05-14,SMA10,BUY,238.6581573486328,41
2021-05-17,SMA10,SELL,235.8018035888672,41
2021-05-20,SMA10,BUY,237.59945678710938,41
2021-05-25,SMA30,BUY,242.65065002441406,40
2021-05-27,SMA30,SELL,240.3275146484375,40
2021-06-01,SMA10,SELL,238.48629760742188,41
2021-06-04,SMA10,BUY,241.7541961669922,40
2021-06-04,SMA30,BUY,241.7541961669922,40
2021-06-07,GOLDEN,BUY,244.66537475585938,40
2021-07-19,SMA10,SELL,267.02947998046875,40
2021-07-21,SMA10,BUY,271.26129150390625,37
2021-08-02,SMA10,SELL,274.55804443359375,37
2021-08-03,SMA10,BUY,276.77520751953125,37
2021-08-04,SMA10,SELL,276.18719482421875,37
2021-08-05,SMA10,BUY,279.08868408203125,36
2021-08-10,SMA10,SELL,276.1197509765625,36
2021-08-12,SMA10,BUY,279.3683166503906,36
2021-09-02,SMA10,SELL,290.8554992675781,36
2021-09-14,SMA10,BUY,289.5419921875,36
2021-09-17,SMA10,SELL,289.61920166015625,36
2021-09-20,SMA30,SELL,284.2396545410156,40
2021-09-22,SMA30,BUY,288.373291015625,36
2021-09-23,SMA10,BUY,289.31982421875,35
2021-09-27,SMA10,SELL,284.1141052246094,35
2021-09-27,SMA30,SELL,284.1141052246094,36
2021-09-27,GOLDEN,SELL,284.1141052246094,40
2021-10-06,SMA10,BUY,283.0902404785156,36
2021-10-13,SMA30,BUY,286.180908203125,35
2021-10-18,GOLDEN,BUY,296.7856140136719,34
2021-11-10,SMA10,SELL,319.4918518066406,36
2021-11-12,SMA10,BUY,325.20953369140625,32
2021-11-24,SMA10,SELL,326.9559631347656,32
2021-12-02,SMA30,SELL,318.808837890625,35
2021-12-07,SMA10,BUY,324.0628967285156,32
2021-12-07,SMA30,BUY,324.0628967285156,32
2021-12-07,GOLDEN,SELL,324.0628967285156,34
2021-12-09,SMA30,SELL,322.3019104003906,32
2021-12-10,SMA30,BUY,331.4358825683594,32
2021-12-14,SMA10,SELL,317.6961669921875,32
2021-12-14,SMA30,SELL,317.6961669921875,32
2021-12-15,SMA10,BUY,323.8016052246094,32
2021-12-16,SMA10,SELL,314.36767578125,32
2021-12-22,SMA10,BUY,322.398681640625,32
2021-12-22,SMA30,BUY,322.398681640625,32
